FrameCount,Timestamp,Latency_ms,FPS
1,1770788347.925738,11.897802352905273,3.577439032711492
2,1770788348.55478,3.0717849731445312,4.098970152200129
3,1770788348.756019,7.437944412231445,5.123871675496988
4,1770788348.9564302,3.7446022033691406,5.138491544277993
5,1770788349.1571212,9.175539016723633,5.124115805908555
6,1770788349.3576236,7.771730422973633,5.150271677400738
7,1770788349.5652614,1.722097396850586,5.014087201017569
8,1770788349.7690642,3.9565563201904297,5.211338374488409
9,1770788349.9815123,13.087987899780273,4.9216096275383645
10,1770788350.1920767,0.6055831909179688,4.968818599141122
11,1770788350.3991725,1.1658668518066406,5.070931066208696
12,1770788350.612068,12.417793273925781,4.841266671668408
13,1770788350.8137324,11.212587356567383,5.065523363244405
14,1770788351.0227854,11.689424514770508,4.953871156717123
15,1770788351.2314744,0.7808208465576172,4.977835166556689
16,1770788351.4518182,2.1393299102783203,4.823983373760306
17,1770788351.6573322,4.952430725097656,5.025315257567679
18,1770788351.8634825,9.99307632446289,5.000648582656137
19,1770788352.0733883,3.5941600799560547,5.047916832150276
20,1770788352.2768774,10.411500930786133,5.0479350579796485
21,1770788352.4781165,1.7583370208740234,5.186733608685974
22,1770788352.6747417,4.897832870483398,5.288920049026778
23,1770788352.8814776,5.827426910400391,5.103416388639455
24,1770788353.101774,6.224870681762695,4.644515461771343
25,1770788353.300752,7.78961181640625,5.156337323447587
26,1770788353.5255723,5.2738189697265625,4.5701334983721305
27,1770788353.7308874,3.8251876831054688,5.062698558309756
28,1770788353.9430175,15.578746795654297,4.891459226216508
29,1770788354.1521082,2.910137176513672,4.933250687182358
30,1770788354.357883,11.932849884033203,5.000815524534889
31,1770788354.5601285,0.6237030029296875,5.196456159782542
32,1770788354.7665052,0.2884864807128906,5.13515723901849
33,1770788354.9596145,2.219676971435547,5.321086671352199
34,1770788355.162533,12.270927429199219,5.076805015916821
35,1770788355.3599286,10.378837585449219,5.239421981492215
36,1770788355.5661013,0.42629241943359375,5.0320255494156125
37,1770788355.769148,2.402067184448242,5.105205374074642
38,1770788355.9768744,7.422924041748047,4.969366090385199
39,1770788356.1795828,10.438203811645508,5.019746014952828
40,1770788356.3853142,1.0039806365966797,4.982968369829684
41,1770788356.5855734,3.6554336547851562,5.143904840978522
42,1770788356.7970786,2.672910690307617,4.8786066387975815
43,1770788357.0094695,9.259223937988281,4.840674413800347
44,1770788357.2259424,12.264490127563477,4.761174156212859
45,1770788357.4481854,15.029668807983398,4.79106463813178
46,1770788357.6536489,9.509563446044922,5.002419927127872
47,1770788357.8656077,11.234045028686523,4.85873617144512
48,1770788358.0675573,11.430025100708008,5.205775832752059
49,1770788358.2819843,10.258674621582031,4.862222665311124
50,1770788358.486786,2.8409957885742188,5.033239291941521
51,1770788358.6891997,9.960651397705078,5.11322771963403
52,1770788358.8930433,12.068748474121094,5.003201626101602
53,1770788359.1019874,9.880542755126953,4.958017126024275
54,1770788359.3159118,7.587671279907227,4.877557072235874
55,1770788359.5518181,6.300210952758789,4.334866377145314
56,1770788359.7495806,8.561372756958008,5.231201343001748
57,1770788359.952323,1.6689300537109375,5.071936713008926
58,1770788360.1650226,10.251998901367188,4.8149180467130295
59,1770788360.372233,13.556718826293945,5.046738507890823
60,1770788360.58644,0.7750988006591797,4.952379602964601
61,1770788360.7875824,6.002902984619141,5.151334349442471
62,1770788360.9866705,8.558034896850586,5.191767053359674
63,1770788361.1941555,10.416269302368164,4.958239846038542
64,1770788361.4018607,5.81049919128418,4.9100808571064
65,1770788361.6196656,0.08893013000488281,4.898257005553058
66,1770788361.8228137,1.628875732421875,5.097802901672041
67,1770788362.029891,11.765718460083008,5.074593783649716
68,1770788362.2438602,0.07534027099609375,4.863733717703566
69,1770788362.4507585,3.2646656036376953,4.941416530985879
70,1770788362.6563575,7.588624954223633,5.01368562859578
71,1770788362.864859,3.092050552368164,4.971910858226647
72,1770788363.0709994,5.3348541259765625,5.20251498684581
73,1770788363.284694,7.480621337890625,4.8356850922045505
74,1770788363.491353,2.4394989013671875,5.0856754158032516
75,1770788363.7004948,9.499549865722656,4.9302468823797
76,1770788363.9157624,8.243560791015625,4.779457797620472
77,1770788364.1200948,11.467695236206055,5.064795460610605
78,1770788364.3248072,12.349843978881836,5.129599213371702
79,1770788364.5477788,9.016275405883789,4.69061307930856
80,1770788364.7446113,8.689641952514648,5.246171972913003
81,1770788364.9475648,5.541801452636719,5.155221895691142
82,1770788365.1468906,2.0406246185302734,5.165290874452136
83,1770788365.3600357,7.980585098266602,4.847606191171848
84,1770788365.5749326,1.0898113250732422,4.842893332440415
85,1770788365.784582,5.298137664794922,4.9371704083170105
86,1770788365.9907444,3.8313865661621094,4.994003819647849
87,1770788366.206472,6.353139877319336,4.818430481888541
88,1770788366.413222,2.7997493743896484,4.9934865558273955
89,1770788366.61365,7.041454315185547,5.138088681343989
90,1770788366.8102577,5.926847457885742,5.268617194997563
91,1770788367.01333,2.8879642486572266,5.168817308983897
92,1770788367.2404604,8.239984512329102,4.562844989828443
93,1770788367.452819,5.4645538330078125,4.9489962312951175
94,1770788367.669251,9.801864624023438,4.743190780285408
95,1770788367.8718607,10.66136360168457,5.136735776106479
96,1770788368.0854516,13.839483261108398,4.90693870865847
97,1770788368.294991,10.962963104248047,4.871331377508949
98,1770788368.5061352,12.797832489013672,4.90252811385571
99,1770788368.71948,8.087158203125,4.809987167416477
100,1770788368.923918,6.82520866394043,4.97322549701972
101,1770788369.1346807,8.569478988647461,4.883105029210354
102,1770788369.331386,11.769771575927734,5.2361515452643355
103,1770788369.5324652,11.079072952270508,5.315860114547595
104,1770788369.7356782,2.9900074005126953,5.207268790558568
105,1770788369.9456668,10.992050170898438,4.841423141341072
106,1770788370.1459057,15.421390533447266,5.136779812963244
107,1770788370.3496335,1.5714168548583984,5.047546268829148
108,1770788370.5553749,9.204864501953125,5.047400488337306
109,1770788370.7570422,10.962724685668945,5.105746043455344
110,1770788370.9561756,9.556293487548828,5.176127367437682
111,1770788371.1608834,4.514217376708984,5.065633484381491
112,1770788371.3744671,2.0799636840820312,4.7949424682903965
113,1770788371.5839083,10.03718376159668,4.96882448550213
114,1770788371.788276,12.078523635864258,5.118937720443755
115,1770788371.990067,8.785724639892578,5.071065946887034
116,1770788372.193506,2.172708511352539,5.08422054268969
117,1770788372.400332,7.441997528076172,5.040170637185688
118,1770788372.607624,10.387897491455078,5.043315986417461
119,1770788372.8211133,1.6965866088867188,4.883832820610749
120,1770788373.022792,11.319160461425781,5.099866980207531
121,1770788373.2316475,10.587215423583984,4.978644658078316
122,1770788373.4481442,8.569478988647461,4.800276505185044
123,1770788373.6548626,0.2803802490234375,4.990011183286935
124,1770788373.859985,7.718563079833984,5.010888394553175
125,1770788374.0670645,3.438234329223633,5.0200644398378
126,1770788374.273193,1.2214183807373047,5.0483664410272215
127,1770788374.4818187,2.3005008697509766,5.000821486950996
128,1770788374.6904793,2.3474693298339844,4.972600514770304
129,1770788374.8992631,3.368854522705078,4.976925541382379
130,1770788375.1058984,0.07891654968261719,5.008710272963284
131,1770788375.320384,10.266304016113281,4.975006968537794
132,1770788375.5225003,10.432958602905273,5.098751054565081
133,1770788375.7227077,1.7795562744140625,5.161680316520733
134,1770788375.9233902,9.701251983642578,5.107741918199244
135,1770788376.130229,9.960174560546875,4.99801476178333
136,1770788376.3345413,6.713390350341797,5.011151812318846
137,1770788376.546487,2.01416015625,5.006073930318688
138,1770788376.7475095,2.386808395385742,5.124015647028067
139,1770788376.953484,6.994485855102539,5.0164979870877
140,1770788377.1731248,1.260519027709961,4.678772140009415
141,1770788377.4131355,6.624937057495117,4.30822643152892
