FrameCount,Timestamp,Latency_ms,FPS
1,1770785496.6672528,0,5.647211375302501e-10
2,1770785498.419799,0,0.5705983311548596
3,1770785498.8350842,0,2.4079842372858002
4,1770785499.2561097,0,2.375152966545841
5,1770785499.5558367,0,3.3363698408935796
6,1770785499.789163,0,4.2858409919051095
7,1770785500.291762,0,1.9896577552841412
8,1770785500.7023087,0,2.4357774323052204
9,1770785501.3841877,0,1.4665357579419358
10,1770785501.8937223,0,1.9625752698813321
11,1770785502.1763196,0,3.538604183417011
12,1770785502.3998044,0,4.474578151687234
13,1770785502.7034993,0,3.2927776892405256
14,1770785502.946507,0,4.115096620253364
15,1770785503.1829302,0,4.229702379211622
16,1770785503.4281707,0,4.07763075131269
17,1770785503.6599329,0,4.314768008015793
18,1770785503.9009216,0,4.149571617958409
19,1770785504.170873,0,3.70437126520634
20,1770785504.4051054,0,4.269263732617294
21,1770785504.6355147,0,4.34010101334117
22,1770785504.8711393,0,4.2440399036306475
23,1770785505.1067955,0,4.24346882986279
24,1770785505.3410916,0,4.268103782503264
25,1770785505.5709958,0,4.349638282338886
26,1770785505.798014,0,4.404934765691049
27,1770785506.031385,0,4.285022205104262
28,1770785506.2603621,0,4.367246980424823
29,1770785506.4959633,0,4.244460793193164
30,1770785506.7283952,0,4.302335648124404
31,1770785506.9648302,0,4.2294933849628915
32,1770785507.2058227,0,4.149505933937214
33,1770785507.4607515,0,3.922663476888919
34,1770785507.6909368,0,4.344326631567935
35,1770785507.924729,0,4.277300743629384
36,1770785508.156489,0,4.314812395390872
37,1770785508.3933475,0,4.221928075397325
38,1770785508.6284091,0,4.254203180785459
39,1770785508.8535533,0,4.4415989020705835
40,1770785509.1096382,0,3.9049546689408228
41,1770785509.3396873,0,4.346897489470368
42,1770785509.5710351,0,4.3224962719368305
43,1770785509.7999349,0,4.368725359997917
44,1770785510.0269296,0,4.4053881743751875
45,1770785510.273643,0,4.053286122511696
46,1770785510.5234444,0,4.00318016918271
47,1770785510.7573767,0,4.274741816766087
48,1770785510.9939458,0,4.227093564782014
49,1770785511.2333267,0,4.177443836675179
50,1770785511.4684525,0,4.253042773748237
51,1770785511.6987717,0,4.3417992627550515
52,1770785511.9298491,0,4.327553706166575
53,1770785512.1464841,0,4.616059509174772
54,1770785512.3860881,0,4.173553094016549
55,1770785512.6079628,0,4.507048065247526
56,1770785512.847317,0,4.1779098816245055
57,1770785513.0782473,0,4.33031038868791
58,1770785513.309674,0,4.321022299968887
59,1770785513.5438704,0,4.269920013519416
60,1770785513.783647,0,4.17054855542828
61,1770785514.0205162,0,4.221741095378867
62,1770785514.5001442,0,2.084948794704594
63,1770785514.7308602,0,4.334333306120846
64,1770785514.941947,0,4.737388774309266
65,1770785515.1768212,0,4.257597443596506
66,1770785515.4204307,0,4.1049314328441175
67,1770785515.6569052,0,4.228785517106486
68,1770785515.8863845,0,4.357691276729703
69,1770785516.107805,0,4.516293117836127
70,1770785516.3371522,0,4.360200924786268
71,1770785516.5664701,0,4.360758513207649
72,1770785516.7961469,0,4.353945775816072
73,1770785517.030627,0,4.264753462446148
74,1770785517.2954934,0,3.7754890047077674
75,1770785517.5291095,0,4.280526648276228
76,1770785517.7600935,0,4.329304708732402
77,1770785517.9930305,0,4.293004465670224
78,1770785518.2242832,0,4.324274391098868
79,1770785518.4450955,0,4.528732802536079
80,1770785518.6911724,0,4.06377159267179
81,1770785518.9256299,0,4.265165458934741
82,1770785519.185279,0,3.851352604616697
83,1770785519.419011,0,4.278400235019544
84,1770785519.641748,0,4.489603158122339
85,1770785519.8892584,0,4.040233727052577
86,1770785520.1252286,0,4.237822196132081
87,1770785520.3594503,0,4.26945929191559
88,1770785520.5940387,0,4.262785651491206
89,1770785520.8351536,0,4.1474010416203155
90,1770785521.0650477,0,4.349827741053631
91,1770785521.2967224,0,4.316397623168957
92,1770785521.5334165,0,4.224862429955871
93,1770785521.7661633,0,4.2965137659788715
94,1770785522.0053315,0,4.181158437871333
95,1770785522.2423594,0,4.218912919056859
96,1770785522.470787,0,4.377753771807598
97,1770785522.7022915,0,4.31957157569516
98,1770785522.9335694,0,4.323801865883202
99,1770785523.1664362,0,4.294301095305279
100,1770785523.3953116,0,4.369189550122764
101,1770785523.6287143,0,4.2844400497669985
102,1770785523.8594,0,4.334902218556667
103,1770785524.115972,0,3.897541307319394
104,1770785524.3424616,0,4.415214860321317
105,1770785524.580853,0,4.194782205171389
106,1770785524.8865807,0,3.2708842990996754
107,1770785525.1125557,0,4.42526756473885
108,1770785525.3640656,0,3.975986554290465
109,1770785525.6732223,0,3.2346060799091845
110,1770785525.9152498,0,4.131761525784205
111,1770785526.1475778,0,4.304260642369983
112,1770785526.3864236,0,4.186801252156136
113,1770785526.6126258,0,4.420822525377835
114,1770785526.8469856,0,4.2669444625301125
115,1770785527.0747752,0,4.390015270786953
116,1770785527.3337648,0,3.8611593132900235
117,1770785527.5706403,0,4.221626365839715
118,1770785527.802857,0,4.306324417061008
119,1770785528.0329905,0,4.345303289303289
120,1770785528.2605414,0,4.394619548248252
121,1770785528.4983218,0,4.205562290251002
122,1770785528.729256,0,4.330238858237801
123,1770785528.9610975,0,4.313290429796362
124,1770785529.2289412,0,3.7335203815498774
125,1770785529.4657786,0,4.222306335617818
126,1770785529.6958966,0,4.3455959220253115
127,1770785529.9271662,0,4.323957876940048
128,1770785530.1562176,0,4.36583322143704
129,1770785530.3923633,0,4.234673139034415
130,1770785530.628518,0,4.234510678896118
131,1770785530.8692749,0,4.1535699396023205
132,1770785531.102703,0,4.283971814039664
133,1770785531.3450053,0,4.127078026033933
134,1770785531.5831919,0,4.198389032528651
135,1770785531.7952356,0,4.7160076278199545
136,1770785532.026561,0,4.322915045519243
137,1770785532.261797,0,4.25105128358457
138,1770785532.4907784,0,4.367165130182899
139,1770785532.7154324,0,4.451290345517778
140,1770785533.0104501,0,3.389626909456487
141,1770785533.2391105,0,4.373298744305687
142,1770785533.5381188,0,3.3443879910567627
143,1770785533.7747638,0,4.225739274462728
144,1770785534.0121398,0,4.212726251899557
145,1770785534.2655811,0,3.9456863058673015
146,1770785534.4946535,0,4.365433352865688
147,1770785534.7280426,0,4.284689525541293
148,1770785534.960075,0,4.309744824879215
149,1770785535.189685,0,4.355207127318793
150,1770785535.426201,0,4.228043789439729
151,1770785535.8449297,0,2.3881818052412065
